index,comparisons
0,10
1,9
2,10
3,8
4,10
5,9
6,10
7,7
8,10
9,9
10,10
11,8
12,10
13,9
14,10
15,6
16,10
17,9
18,10
19,8
20,10
21,9
22,10
23,7
24,10
25,9
26,10
27,8
28,10
29,9
30,10
31,5
32,10
33,9
34,10
35,8
36,10
37,9
38,10
39,7
40,10
41,9
42,10
43,8
44,10
45,9
46,10
47,6
48,10
49,9
50,10
51,8
52,10
53,9
54,10
55,7
56,10
57,9
58,10
59,8
60,10
61,9
62,10
63,4
64,10
65,9
66,10
67,8
68,10
69,9
70,10
71,7
72,10
73,9
74,10
75,8
76,10
77,9
78,10
79,6
80,10
81,9
82,10
83,8
84,10
85,9
86,10
87,7
88,10
89,9
90,10
91,8
92,10
93,9
94,10
95,5
96,10
97,9
98,10
99,8
100,10
101,9
102,10
103,7
104,10
105,9
106,10
107,8
108,10
109,9
110,10
111,6
112,10
113,9
114,10
115,8
116,10
117,9
118,10
119,7
120,10
121,9
122,10
123,8
124,10
125,9
126,10
127,3
128,10
129,9
130,10
131,8
132,10
133,9
134,10
135,7
136,10
137,9
138,10
139,8
140,10
141,9
142,10
143,6
144,10
145,9
146,10
147,8
148,10
149,9
150,10
151,7
152,10
153,9
154,10
155,8
156,10
157,9
158,10
159,5
160,10
161,9
162,10
163,8
164,10
165,9
166,10
167,7
168,10
169,9
170,10
171,8
172,10
173,9
174,10
175,6
176,10
177,9
178,10
179,8
180,10
181,9
182,10
183,7
184,10
185,9
186,10
187,8
188,10
189,9
190,10
191,4
192,10
193,9
194,10
195,8
196,10
197,9
198,10
199,7
200,10
201,9
202,10
203,8
204,10
205,9
206,10
207,6
208,10
209,9
210,10
211,8
212,10
213,9
214,10
215,7
216,10
217,9
218,10
219,8
220,10
221,9
222,10
223,5
224,10
225,9
226,10
227,8
228,10
229,9
230,10
231,7
232,10
233,9
234,10
235,8
236,10
237,9
238,10
239,6
240,10
241,9
242,10
243,8
244,10
245,9
246,10
247,7
248,10
249,9
250,10
251,8
252,10
253,9
254,10
255,11
256,2
257,10
258,9
259,10
260,8
261,10
262,9
263,10
264,7
265,10
266,9
267,10
268,8
269,10
270,9
271,10
272,6
273,10
274,9
275,10
276,8
277,10
278,9
279,10
280,7
281,10
282,9
283,10
284,8
285,10
286,9
287,10
288,5
289,10
290,9
291,10
292,8
293,10
294,9
295,10
296,7
297,10
298,9
299,10
300,8
301,10
302,9
303,10
304,6
305,10
306,9
307,10
308,8
309,10
310,9
311,10
312,7
313,10
314,9
315,10
316,8
317,10
318,9
319,10
320,4
321,10
322,9
323,10
324,8
325,10
326,9
327,10
328,7
329,10
330,9
331,10
332,8
333,10
334,9
335,10
336,6
337,10
338,9
339,10
340,8
341,10
342,9
343,10
344,7
345,10
346,9
347,10
348,8
349,10
350,9
351,10
352,5
353,10
354,9
355,10
356,8
357,10
358,9
359,10
360,7
361,10
362,9
363,10
364,8
365,10
366,9
367,10
368,6
369,10
370,9
371,10
372,8
373,10
374,9
375,10
376,7
377,10
378,9
379,10
380,8
381,10
382,9
383,10
384,3
385,10
386,9
387,10
388,8
389,10
390,9
391,10
392,7
393,10
394,9
395,10
396,8
397,10
398,9
399,10
400,6
401,10
402,9
403,10
404,8
405,10
406,9
407,10
408,7
409,10
410,9
411,10
412,8
413,10
414,9
415,10
416,5
417,10
418,9
419,10
420,8
421,10
422,9
423,10
424,7
425,10
426,9
427,10
428,8
429,10
430,9
431,10
432,6
433,10
434,9
435,10
436,8
437,10
438,9
439,10
440,7
441,10
442,9
443,10
444,8
445,10
446,9
447,10
448,4
449,10
450,9
451,10
452,8
453,10
454,9
455,10
456,7
457,10
458,9
459,10
460,8
461,10
462,9
463,10
464,6
465,10
466,9
467,10
468,8
469,10
470,9
471,10
472,7
473,10
474,9
475,10
476,8
477,10
478,9
479,10
480,5
481,10
482,9
483,10
484,8
485,10
486,9
487,10
488,7
489,10
490,9
491,10
492,8
493,10
494,9
495,10
496,6
497,10
498,9
499,10
500,8
501,10
502,9
503,10
504,7
505,10
506,9
507,10
508,8
509,10
510,9
511,10
512,11
513,1
514,10
515,9
516,10
517,8
518,10
519,9
520,10
521,7
522,10
523,9
524,10
525,8
526,10
527,9
528,10
529,6
530,10
531,9
532,10
533,8
534,10
535,9
536,10
537,7
538,10
539,9
540,10
541,8
542,10
543,9
544,10
545,5
546,10
547,9
548,10
549,8
550,10
551,9
552,10
553,7
554,10
555,9
556,10
557,8
558,10
559,9
560,10
561,6
562,10
563,9
564,10
565,8
566,10
567,9
568,10
569,7
570,10
571,9
572,10
573,8
574,10
575,9
576,10
577,4
578,10
579,9
580,10
581,8
582,10
583,9
584,10
585,7
586,10
587,9
588,10
589,8
590,10
591,9
592,10
593,6
594,10
595,9
596,10
597,8
598,10
599,9
600,10
601,7
602,10
603,9
604,10
605,8
606,10
607,9
608,10
609,5
610,10
611,9
612,10
613,8
614,10
615,9
616,10
617,7
618,10
619,9
620,10
621,8
622,10
623,9
624,10
625,6
626,10
627,9
628,10
629,8
630,10
631,9
632,10
633,7
634,10
635,9
636,10
637,8
638,10
639,9
640,10
641,3
642,10
643,9
644,10
645,8
646,10
647,9
648,10
649,7
650,10
651,9
652,10
653,8
654,10
655,9
656,10
657,6
658,10
659,9
660,10
661,8
662,10
663,9
664,10
665,7
666,10
667,9
668,10
669,8
670,10
671,9
672,10
673,5
674,10
675,9
676,10
677,8
678,10
679,9
680,10
681,7
682,10
683,9
684,10
685,8
686,10
687,9
688,10
689,6
690,10
691,9
692,10
693,8
694,10
695,9
696,10
697,7
698,10
699,9
700,10
701,8
702,10
703,9
704,10
705,4
706,10
707,9
708,10
709,8
710,10
711,9
712,10
713,7
714,10
715,9
716,10
717,8
718,10
719,9
720,10
721,6
722,10
723,9
724,10
725,8
726,10
727,9
728,10
729,7
730,10
731,9
732,10
733,8
734,10
735,9
736,10
737,5
738,10
739,9
740,10
741,8
742,10
743,9
744,10
745,7
746,10
747,9
748,10
749,8
750,10
751,9
752,10
753,6
754,10
755,9
756,10
757,8
758,10
759,9
760,10
761,7
762,10
763,9
764,10
765,8
766,10
767,9
768,10
769,11
770,2
771,10
772,9
773,10
774,8
775,10
776,9
777,10
778,7
779,10
780,9
781,10
782,8
783,10
784,9
785,10
786,6
787,10
788,9
789,10
790,8
791,10
792,9
793,10
794,7
795,10
796,9
797,10
798,8
799,10
800,9
801,10
802,5
803,10
804,9
805,10
806,8
807,10
808,9
809,10
810,7
811,10
812,9
813,10
814,8
815,10
816,9
817,10
818,6
819,10
820,9
821,10
822,8
823,10
824,9
825,10
826,7
827,10
828,9
829,10
830,8
831,10
832,9
833,10
834,4
835,10
836,9
837,10
838,8
839,10
840,9
841,10
842,7
843,10
844,9
845,10
846,8
847,10
848,9
849,10
850,6
851,10
852,9
853,10
854,8
855,10
856,9
857,10
858,7
859,10
860,9
861,10
862,8
863,10
864,9
865,10
866,5
867,10
868,9
869,10
870,8
871,10
872,9
873,10
874,7
875,10
876,9
877,10
878,8
879,10
880,9
881,10
882,6
883,10
884,9
885,10
886,8
887,10
888,9
889,10
890,7
891,10
892,9
893,10
894,8
895,10
896,9
897,10
898,3
899,10
900,9
901,10
902,8
903,10
904,9
905,10
906,7
907,10
908,9
909,10
910,8
911,10
912,9
913,10
914,6
915,10
916,9
917,10
918,8
919,10
920,9
921,10
922,7
923,10
924,9
925,10
926,8
927,10
928,9
929,10
930,5
931,10
932,9
933,10
934,8
935,10
936,9
937,10
938,7
939,10
940,9
941,10
942,8
943,10
944,9
945,10
946,6
947,10
948,9
949,10
950,8
951,10
952,9
953,10
954,7
955,10
956,9
957,10
958,8
959,10
960,9
961,10
962,4
963,10
964,9
965,10
966,8
967,10
968,9
969,10
970,7
971,10
972,9
973,10
974,8
975,10
976,9
977,10
978,6
979,10
980,9
981,10
982,8
983,10
984,9
985,10
986,7
987,10
988,9
989,10
990,8
991,10
992,9
993,10
994,5
995,10
996,9
997,10
998,8
999,10
1000,9
1001,10
1002,7
1003,10
1004,9
1005,10
1006,8
1007,10
1008,9
1009,10
1010,6
1011,10
1012,9
1013,10
1014,8
1015,10
1016,9
1017,10
1018,7
1019,10
1020,9
1021,10
1022,8
1023,10
1024,9
1025,10
1026,11
-1,10
